period,entity,report_line,budget_amount
2025-01,N01,revenue,65950.00
2025-01,N01,direct_cost,-27650.00
2025-01,N01,overhead,-10250.00
2025-01,N02,revenue,51100.00
2025-01,N02,direct_cost,-19300.00
2025-01,N02,overhead,-8000.00
2025-01,N03,revenue,36300.00
2025-01,N03,direct_cost,-16400.00
2025-01,N03,overhead,-6550.00
2025-02,N01,revenue,67600.00
2025-02,N01,direct_cost,-28500.00
2025-02,N01,overhead,-10450.00
2025-02,N02,revenue,54850.00
2025-02,N02,direct_cost,-21200.00
2025-02,N02,overhead,-8000.00
2025-02,N03,revenue,37200.00
2025-02,N03,direct_cost,-17400.00
2025-02,N03,overhead,-6550.00
2025-03,N01,revenue,74250.00
2025-03,N01,direct_cost,-31600.00
2025-03,N01,overhead,-10250.00
2025-03,N02,revenue,59150.00
2025-03,N02,direct_cost,-22350.00
2025-03,N02,overhead,-7900.00
2025-03,N03,revenue,40950.00
2025-03,N03,direct_cost,-19150.00
2025-03,N03,overhead,-6550.00
2025-04,N01,revenue,75550.00
2025-04,N01,direct_cost,-30950.00
2025-04,N01,overhead,-10450.00
2025-04,N02,revenue,57950.00
2025-04,N02,direct_cost,-22300.00
2025-04,N02,overhead,-8050.00
2025-04,N03,revenue,41500.00
2025-04,N03,direct_cost,-18700.00
2025-04,N03,overhead,-6600.00
2025-05,N01,revenue,71750.00
2025-05,N01,direct_cost,-30450.00
2025-05,N01,overhead,-10350.00
2025-05,N02,revenue,58250.00
2025-05,N02,direct_cost,-22200.00
2025-05,N02,overhead,-7950.00
2025-05,N03,revenue,40150.00
2025-05,N03,direct_cost,-18200.00
2025-05,N03,overhead,-6500.00
2025-06,N01,revenue,67650.00
2025-06,N01,direct_cost,-27900.00
2025-06,N01,overhead,-10450.00
2025-06,N02,revenue,54400.00
2025-06,N02,direct_cost,-21100.00
2025-06,N02,overhead,-8150.00
2025-06,N03,revenue,37500.00
2025-06,N03,direct_cost,-17000.00
2025-06,N03,overhead,-6500.00
2025-07,N01,revenue,56000.00
2025-07,N01,direct_cost,-22950.00
2025-07,N01,overhead,-10600.00
2025-07,N02,revenue,44900.00
2025-07,N02,direct_cost,-16750.00
2025-07,N02,overhead,-8100.00
2025-07,N03,revenue,30400.00
2025-07,N03,direct_cost,-14000.00
2025-07,N03,overhead,-6550.00
2025-08,N01,revenue,53700.00
2025-08,N01,direct_cost,-22550.00
2025-08,N01,overhead,-10500.00
2025-08,N02,revenue,43250.00
2025-08,N02,direct_cost,-16700.00
2025-08,N02,overhead,-8150.00
2025-08,N03,revenue,30200.00
2025-08,N03,direct_cost,-13950.00
2025-08,N03,overhead,-6550.00
2025-09,N01,revenue,72700.00
2025-09,N01,direct_cost,-30500.00
2025-09,N01,overhead,-10650.00
2025-09,N02,revenue,59300.00
2025-09,N02,direct_cost,-22500.00
2025-09,N02,overhead,-8200.00
2025-09,N03,revenue,41750.00
2025-09,N03,direct_cost,-19550.00
2025-09,N03,overhead,-6650.00
2025-10,N01,revenue,77900.00
2025-10,N01,direct_cost,-32700.00
2025-10,N01,overhead,-10450.00
2025-10,N02,revenue,62400.00
2025-10,N02,direct_cost,-23150.00
2025-10,N02,overhead,-8100.00
2025-10,N03,revenue,42450.00
2025-10,N03,direct_cost,-19750.00
2025-10,N03,overhead,-6700.00
2025-11,N01,revenue,75350.00
2025-11,N01,direct_cost,-31400.00
2025-11,N01,overhead,-10400.00
2025-11,N02,revenue,59550.00
2025-11,N02,direct_cost,-22250.00
2025-11,N02,overhead,-8200.00
2025-11,N03,revenue,41600.00
2025-11,N03,direct_cost,-18800.00
2025-11,N03,overhead,-6650.00
2025-12,N01,revenue,68600.00
2025-12,N01,direct_cost,-29350.00
2025-12,N01,overhead,-10500.00
2025-12,N02,revenue,53200.00
2025-12,N02,direct_cost,-20500.00
2025-12,N02,overhead,-8150.00
2025-12,N03,revenue,38100.00
2025-12,N03,direct_cost,-17100.00
2025-12,N03,overhead,-6700.00
2026-01,N01,revenue,66200.00
2026-01,N01,direct_cost,-28100.00
2026-01,N01,overhead,-10450.00
2026-01,N02,revenue,53100.00
2026-01,N02,direct_cost,-19750.00
2026-01,N02,overhead,-8200.00
2026-01,N03,revenue,36550.00
2026-01,N03,direct_cost,-17150.00
2026-01,N03,overhead,-6750.00
2026-02,N01,revenue,70650.00
2026-02,N01,direct_cost,-29600.00
2026-02,N01,overhead,-10700.00
2026-02,N02,revenue,56900.00
2026-02,N02,direct_cost,-21200.00
2026-02,N02,overhead,-8250.00
2026-02,N03,revenue,39250.00
2026-02,N03,direct_cost,-18200.00
2026-02,N03,overhead,-6700.00
2026-03,N01,revenue,78150.00
2026-03,N01,direct_cost,-32300.00
2026-03,N01,overhead,-10750.00
2026-03,N02,revenue,61200.00
2026-03,N02,direct_cost,-22850.00
2026-03,N02,overhead,-8200.00
2026-03,N03,revenue,42250.00
2026-03,N03,direct_cost,-19800.00
2026-03,N03,overhead,-6800.00
