period,entity,report_line,actual_amount
2023-01,N01,revenue,56938.73
2023-01,N01,direct_cost,-23440.01
2023-01,N01,overhead,-9526.88
2023-01,N02,revenue,45933.19
2023-01,N02,direct_cost,-17098.58
2023-01,N02,overhead,-7242.26
2023-01,N03,revenue,32226.11
2023-01,N03,direct_cost,-14538.18
2023-01,N03,overhead,-6014.96
2023-02,N01,revenue,63169.58
2023-02,N01,direct_cost,-26065.32
2023-02,N01,overhead,-9583.58
2023-02,N02,revenue,48742.52
2023-02,N02,direct_cost,-18334.48
2023-02,N02,overhead,-7304.65
2023-02,N03,revenue,34739.18
2023-02,N03,direct_cost,-15987.24
2023-02,N03,overhead,-6131.69
2023-03,N01,revenue,67067.71
2023-03,N01,direct_cost,-28534.20
2023-03,N01,overhead,-9605.76
2023-03,N02,revenue,52232.11
2023-03,N02,direct_cost,-19618.43
2023-03,N02,overhead,-7161.24
2023-03,N03,revenue,36777.76
2023-03,N03,direct_cost,-16805.62
2023-03,N03,overhead,-6105.88
2023-04,N01,revenue,66007.44
2023-04,N01,direct_cost,-27434.09
2023-04,N01,overhead,-9525.77
2023-04,N02,revenue,51652.38
2023-04,N02,direct_cost,-19715.41
2023-04,N02,overhead,-7332.32
2023-04,N03,revenue,39017.63
2023-04,N03,direct_cost,-17660.43
2023-04,N03,overhead,-6097.13
2023-05,N01,revenue,66118.94
2023-05,N01,direct_cost,-28110.88
2023-05,N01,overhead,-9620.90
2023-05,N02,revenue,51741.57
2023-05,N02,direct_cost,-19604.19
2023-05,N02,overhead,-7346.58
2023-05,N03,revenue,37109.25
2023-05,N03,direct_cost,-17330.25
2023-05,N03,overhead,-6148.23
2023-06,N01,revenue,60439.66
2023-06,N01,direct_cost,-25561.42
2023-06,N01,overhead,-9528.36
2023-06,N02,revenue,47307.35
2023-06,N02,direct_cost,-17728.54
2023-06,N02,overhead,-7224.32
2023-06,N03,revenue,34409.70
2023-06,N03,direct_cost,-15570.03
2023-06,N03,overhead,-6082.56
2023-07,N01,revenue,50240.51
2023-07,N01,direct_cost,-21092.83
2023-07,N01,overhead,-9546.04
2023-07,N02,revenue,38738.27
2023-07,N02,direct_cost,-14705.88
2023-07,N02,overhead,-7325.47
2023-07,N03,revenue,29232.72
2023-07,N03,direct_cost,-13251.96
2023-07,N03,overhead,-6141.62
2023-08,N01,revenue,49622.50
2023-08,N01,direct_cost,-21226.37
2023-08,N01,overhead,-9681.01
2023-08,N02,revenue,39005.18
2023-08,N02,direct_cost,-14969.56
2023-08,N02,overhead,-7243.21
2023-08,N03,revenue,28249.00
2023-08,N03,direct_cost,-13085.19
2023-08,N03,overhead,-6177.29
2023-09,N01,revenue,66838.63
2023-09,N01,direct_cost,-28394.37
2023-09,N01,overhead,-9562.60
2023-09,N02,revenue,52436.23
2023-09,N02,direct_cost,-19811.71
2023-09,N02,overhead,-7275.82
2023-09,N03,revenue,38459.55
2023-09,N03,direct_cost,-17629.08
2023-09,N03,overhead,-6176.95
2023-10,N01,revenue,69835.13
2023-10,N01,direct_cost,-28599.06
2023-10,N01,overhead,-9757.33
2023-10,N02,revenue,54106.12
2023-10,N02,direct_cost,-20607.78
2023-10,N02,overhead,-7404.13
2023-10,N03,revenue,40006.26
2023-10,N03,direct_cost,-18257.29
2023-10,N03,overhead,-6252.78
2023-11,N01,revenue,69485.20
2023-11,N01,direct_cost,-28467.20
2023-11,N01,overhead,-9718.06
2023-11,N02,revenue,53689.36
2023-11,N02,direct_cost,-20243.60
2023-11,N02,overhead,-7448.76
2023-11,N03,revenue,38457.46
2023-11,N03,direct_cost,-17950.70
2023-11,N03,overhead,-6262.55
2023-12,N01,revenue,62644.39
2023-12,N01,direct_cost,-26868.55
2023-12,N01,overhead,-9778.44
2023-12,N02,revenue,47303.93
2023-12,N02,direct_cost,-17595.49
2023-12,N02,overhead,-7438.23
2023-12,N03,revenue,33990.31
2023-12,N03,direct_cost,-15555.19
2023-12,N03,overhead,-6253.15
2024-01,N01,revenue,62219.22
2024-01,N01,direct_cost,-26092.95
2024-01,N01,overhead,-9652.59
2024-01,N02,revenue,47315.67
2024-01,N02,direct_cost,-17869.66
2024-01,N02,overhead,-7404.72
2024-01,N03,revenue,34916.71
2024-01,N03,direct_cost,-15786.47
2024-01,N03,overhead,-6290.84
2024-02,N01,revenue,63764.82
2024-02,N01,direct_cost,-26880.89
2024-02,N01,overhead,-9858.13
2024-02,N02,revenue,50803.87
2024-02,N02,direct_cost,-19652.73
2024-02,N02,overhead,-7385.36
2024-02,N03,revenue,35765.37
2024-02,N03,direct_cost,-16740.98
2024-02,N03,overhead,-6299.81
2024-03,N01,revenue,70064.52
2024-03,N01,direct_cost,-29794.92
2024-03,N01,overhead,-9686.45
2024-03,N02,revenue,54749.02
2024-03,N02,direct_cost,-20689.32
2024-03,N02,overhead,-7298.30
2024-03,N03,revenue,39362.54
2024-03,N03,direct_cost,-18390.75
2024-03,N03,overhead,-6289.53
2024-04,N01,revenue,71259.29
2024-04,N01,direct_cost,-29183.81
2024-04,N01,overhead,-9840.13
2024-04,N02,revenue,53655.67
2024-04,N02,direct_cost,-20651.45
2024-04,N02,overhead,-7475.00
2024-04,N03,revenue,39917.49
2024-04,N03,direct_cost,-17974.56
2024-04,N03,overhead,-6367.47
2024-05,N01,revenue,67697.62
2024-05,N01,direct_cost,-28737.29
2024-05,N01,overhead,-9763.54
2024-05,N02,revenue,53948.00
2024-05,N02,direct_cost,-20575.66
2024-05,N02,overhead,-7357.76
2024-05,N03,revenue,38595.69
2024-05,N03,direct_cost,-17482.04
2024-05,N03,overhead,-6243.98
2024-06,N01,revenue,63823.55
2024-06,N01,direct_cost,-26318.63
2024-06,N01,overhead,-9868.47
2024-06,N02,revenue,50381.39
2024-06,N02,direct_cost,-19532.83
2024-06,N02,overhead,-7550.23
2024-06,N03,revenue,36061.27
2024-06,N03,direct_cost,-16362.86
2024-06,N03,overhead,-6248.66
2024-07,N01,revenue,52844.87
2024-07,N01,direct_cost,-21640.00
2024-07,N01,overhead,-9991.91
2024-07,N02,revenue,41564.68
2024-07,N02,direct_cost,-15488.60
2024-07,N02,overhead,-7519.90
2024-07,N03,revenue,29217.02
2024-07,N03,direct_cost,-13478.09
2024-07,N03,overhead,-6313.88
2024-08,N01,revenue,50644.43
2024-08,N01,direct_cost,-21272.41
2024-08,N01,overhead,-9894.86
2024-08,N02,revenue,40058.63
2024-08,N02,direct_cost,-15461.36
2024-08,N02,overhead,-7568.86
2024-08,N03,revenue,29033.08
2024-08,N03,direct_cost,-13398.33
2024-08,N03,overhead,-6304.66
2024-09,N01,revenue,68593.52
2024-09,N01,direct_cost,-28752.70
2024-09,N01,overhead,-10034.57
2024-09,N02,revenue,54920.08
2024-09,N02,direct_cost,-20839.64
2024-09,N02,overhead,-7571.63
2024-09,N03,revenue,40121.87
2024-09,N03,direct_cost,-18810.64
2024-09,N03,overhead,-6417.48
2024-10,N01,revenue,73490.52
2024-10,N01,direct_cost,-30849.48
2024-10,N01,overhead,-9864.27
2024-10,N02,revenue,57793.48
2024-10,N02,direct_cost,-21432.35
2024-10,N02,overhead,-7521.72
2024-10,N03,revenue,40840.19
2024-10,N03,direct_cost,-19010.64
2024-10,N03,overhead,-6442.06
2024-11,N01,revenue,71072.19
2024-11,N01,direct_cost,-29635.37
2024-11,N01,overhead,-9810.75
2024-11,N02,revenue,55123.09
2024-11,N02,direct_cost,-20624.95
2024-11,N02,overhead,-7580.10
2024-11,N03,revenue,40006.22
2024-11,N03,direct_cost,-18100.28
2024-11,N03,overhead,-6413.03
2024-12,N01,revenue,64719.06
2024-12,N01,direct_cost,-27675.18
2024-12,N01,overhead,-9904.04
2024-12,N02,revenue,49258.04
2024-12,N02,direct_cost,-18987.88
2024-12,N02,overhead,-7546.20
2024-12,N03,revenue,36639.36
2024-12,N03,direct_cost,-16437.88
2024-12,N03,overhead,-6419.45
2025-01,N01,revenue,62475.57
2025-01,N01,direct_cost,-26506.87
2025-01,N01,overhead,-9881.13
2025-01,N02,revenue,49171.65
2025-01,N02,direct_cost,-18296.44
2025-01,N02,overhead,-7573.21
2025-01,N03,revenue,35148.39
2025-01,N03,direct_cost,-16483.21
2025-01,N03,overhead,-6477.40
2025-02,N01,revenue,66633.94
2025-02,N01,direct_cost,-27916.65
2025-02,N01,overhead,-10089.42
2025-02,N02,revenue,52688.88
2025-02,N02,direct_cost,-19648.94
2025-02,N02,overhead,-7650.54
2025-02,N03,revenue,37723.43
2025-02,N03,direct_cost,-17501.71
2025-02,N03,overhead,-6465.59
2025-03,N01,revenue,73721.54
2025-03,N01,direct_cost,-30458.47
2025-03,N01,overhead,-10122.32
2025-03,N02,revenue,56647.44
2025-03,N02,direct_cost,-21153.16
2025-03,N02,overhead,-7613.66
2025-03,N03,revenue,40647.47
2025-03,N03,direct_cost,-19032.76
2025-03,N03,overhead,-6514.55
2025-04,N01,revenue,74170.49
2025-04,N01,direct_cost,-31361.11
2025-04,N01,overhead,-10146.64
2025-04,N02,revenue,55654.74
2025-04,N02,direct_cost,-21605.83
2025-04,N02,overhead,-7577.03
2025-04,N03,revenue,41674.00
2025-04,N03,direct_cost,-19095.30
2025-04,N03,overhead,-6433.75
2025-05,N01,revenue,72058.17
2025-05,N01,direct_cost,-29517.01
2025-05,N01,overhead,-9983.50
2025-05,N02,revenue,54231.94
2025-05,N02,direct_cost,-20441.71
2025-05,N02,overhead,-7721.71
2025-05,N03,revenue,40528.67
2025-05,N03,direct_cost,-18816.00
2025-05,N03,overhead,-6500.37
2025-06,N01,revenue,65541.08
2025-06,N01,direct_cost,-26903.78
2025-06,N01,overhead,-10038.66
2025-06,N02,revenue,51820.33
2025-06,N02,direct_cost,-19935.95
2025-06,N02,overhead,-7645.22
2025-06,N03,revenue,37708.22
2025-06,N03,direct_cost,-17223.39
2025-06,N03,overhead,-6498.61
2025-07,N01,revenue,54712.05
2025-07,N01,direct_cost,-23283.45
2025-07,N01,overhead,-10210.41
2025-07,N02,revenue,43360.76
2025-07,N02,direct_cost,-16834.74
2025-07,N02,overhead,-7711.46
2025-07,N03,revenue,30465.90
2025-07,N03,direct_cost,-13890.05
2025-07,N03,overhead,-6407.32
2025-08,N01,revenue,54796.33
2025-08,N01,direct_cost,-22449.27
2025-08,N01,overhead,-10064.13
2025-08,N02,revenue,42044.17
2025-08,N02,direct_cost,-16141.20
2025-08,N02,overhead,-7711.91
2025-08,N03,revenue,31099.21
2025-08,N03,direct_cost,-14152.17
2025-08,N03,overhead,-6541.73
2025-09,N01,revenue,71160.37
2025-09,N01,direct_cost,-29297.49
2025-09,N01,overhead,-10019.64
2025-09,N02,revenue,57704.02
2025-09,N02,direct_cost,-21902.23
2025-09,N02,overhead,-7734.82
2025-09,N03,revenue,40336.31
2025-09,N03,direct_cost,-18880.97
2025-09,N03,overhead,-6505.81
2025-10,N01,revenue,76622.24
2025-10,N01,direct_cost,-32733.70
2025-10,N01,overhead,-10224.22
2025-10,N02,revenue,58900.81
2025-10,N02,direct_cost,-22491.15
2025-10,N02,overhead,-7666.13
2025-10,N03,revenue,44269.00
2025-10,N03,direct_cost,-20469.74
2025-10,N03,overhead,-6545.25
2025-11,N01,revenue,74996.34
2025-11,N01,direct_cost,-30912.61
2025-11,N01,overhead,-10170.23
2025-11,N02,revenue,58400.66
2025-11,N02,direct_cost,-22138.43
2025-11,N02,overhead,-7598.82
2025-11,N03,revenue,43555.77
2025-11,N03,direct_cost,-20013.34
2025-11,N03,overhead,-6523.20
2025-12,N01,revenue,68197.95
2025-12,N01,direct_cost,-28059.68
2025-12,N01,overhead,-10275.77
2025-12,N02,revenue,50612.03
2025-12,N02,direct_cost,-19556.86
2025-12,N02,overhead,-7610.34
2025-12,N03,revenue,38117.91
2025-12,N03,direct_cost,-17554.80
2025-12,N03,overhead,-6539.58
