period,entity,report_line,amount,method,data_cutoff,source_period
2026-01,N01,revenue,62475.57,seasonal_naive_12m,2025-12,2025-01
2026-01,N01,direct_cost,-26506.87,seasonal_naive_12m,2025-12,2025-01
2026-01,N01,overhead,-9881.13,seasonal_naive_12m,2025-12,2025-01
2026-01,N02,revenue,49171.65,seasonal_naive_12m,2025-12,2025-01
2026-01,N02,direct_cost,-18296.44,seasonal_naive_12m,2025-12,2025-01
2026-01,N02,overhead,-7573.21,seasonal_naive_12m,2025-12,2025-01
2026-01,N03,revenue,35148.39,seasonal_naive_12m,2025-12,2025-01
2026-01,N03,direct_cost,-16483.21,seasonal_naive_12m,2025-12,2025-01
2026-01,N03,overhead,-6477.40,seasonal_naive_12m,2025-12,2025-01
2026-02,N01,revenue,66633.94,seasonal_naive_12m,2025-12,2025-02
2026-02,N01,direct_cost,-27916.65,seasonal_naive_12m,2025-12,2025-02
2026-02,N01,overhead,-10089.42,seasonal_naive_12m,2025-12,2025-02
2026-02,N02,revenue,52688.88,seasonal_naive_12m,2025-12,2025-02
2026-02,N02,direct_cost,-19648.94,seasonal_naive_12m,2025-12,2025-02
2026-02,N02,overhead,-7650.54,seasonal_naive_12m,2025-12,2025-02
2026-02,N03,revenue,37723.43,seasonal_naive_12m,2025-12,2025-02
2026-02,N03,direct_cost,-17501.71,seasonal_naive_12m,2025-12,2025-02
2026-02,N03,overhead,-6465.59,seasonal_naive_12m,2025-12,2025-02
2026-03,N01,revenue,73721.54,seasonal_naive_12m,2025-12,2025-03
2026-03,N01,direct_cost,-30458.47,seasonal_naive_12m,2025-12,2025-03
2026-03,N01,overhead,-10122.32,seasonal_naive_12m,2025-12,2025-03
2026-03,N02,revenue,56647.44,seasonal_naive_12m,2025-12,2025-03
2026-03,N02,direct_cost,-21153.16,seasonal_naive_12m,2025-12,2025-03
2026-03,N02,overhead,-7613.66,seasonal_naive_12m,2025-12,2025-03
2026-03,N03,revenue,40647.47,seasonal_naive_12m,2025-12,2025-03
2026-03,N03,direct_cost,-19032.76,seasonal_naive_12m,2025-12,2025-03
2026-03,N03,overhead,-6514.55,seasonal_naive_12m,2025-12,2025-03
