period,entity,scenario_id,report_line,amount,method,data_cutoff
2026-01,N01,baseline,direct_cost,-26506.87,seasonal_naive_12m,2025-12
2026-01,N01,baseline,overhead,-9881.13,seasonal_naive_12m,2025-12
2026-01,N01,baseline,revenue,62475.57,seasonal_naive_12m,2025-12
2026-01,N01,cost_pressure,direct_cost,-29687.69,seasonal_naive_12m,2025-12
2026-01,N01,cost_pressure,overhead,-10375.19,seasonal_naive_12m,2025-12
2026-01,N01,cost_pressure,revenue,62475.57,seasonal_naive_12m,2025-12
2026-01,N01,growth,direct_cost,-28627.42,seasonal_naive_12m,2025-12
2026-01,N01,growth,overhead,-9881.13,seasonal_naive_12m,2025-12
2026-01,N01,growth,revenue,68723.13,seasonal_naive_12m,2025-12
2026-01,N02,baseline,direct_cost,-18296.44,seasonal_naive_12m,2025-12
2026-01,N02,baseline,overhead,-7573.21,seasonal_naive_12m,2025-12
2026-01,N02,baseline,revenue,49171.65,seasonal_naive_12m,2025-12
2026-01,N02,cost_pressure,direct_cost,-20492.01,seasonal_naive_12m,2025-12
2026-01,N02,cost_pressure,overhead,-7951.87,seasonal_naive_12m,2025-12
2026-01,N02,cost_pressure,revenue,49171.65,seasonal_naive_12m,2025-12
2026-01,N02,growth,direct_cost,-19760.16,seasonal_naive_12m,2025-12
2026-01,N02,growth,overhead,-7573.21,seasonal_naive_12m,2025-12
2026-01,N02,growth,revenue,54088.82,seasonal_naive_12m,2025-12
2026-01,N03,baseline,direct_cost,-16483.21,seasonal_naive_12m,2025-12
2026-01,N03,baseline,overhead,-6477.40,seasonal_naive_12m,2025-12
2026-01,N03,baseline,revenue,35148.39,seasonal_naive_12m,2025-12
2026-01,N03,cost_pressure,direct_cost,-18461.20,seasonal_naive_12m,2025-12
2026-01,N03,cost_pressure,overhead,-6801.27,seasonal_naive_12m,2025-12
2026-01,N03,cost_pressure,revenue,35148.39,seasonal_naive_12m,2025-12
2026-01,N03,growth,direct_cost,-17801.87,seasonal_naive_12m,2025-12
2026-01,N03,growth,overhead,-6477.40,seasonal_naive_12m,2025-12
2026-01,N03,growth,revenue,38663.23,seasonal_naive_12m,2025-12
2026-02,N01,baseline,direct_cost,-27916.65,seasonal_naive_12m,2025-12
2026-02,N01,baseline,overhead,-10089.42,seasonal_naive_12m,2025-12
2026-02,N01,baseline,revenue,66633.94,seasonal_naive_12m,2025-12
2026-02,N01,cost_pressure,direct_cost,-31266.65,seasonal_naive_12m,2025-12
2026-02,N01,cost_pressure,overhead,-10593.89,seasonal_naive_12m,2025-12
2026-02,N01,cost_pressure,revenue,66633.94,seasonal_naive_12m,2025-12
2026-02,N01,growth,direct_cost,-30149.98,seasonal_naive_12m,2025-12
2026-02,N01,growth,overhead,-10089.42,seasonal_naive_12m,2025-12
2026-02,N01,growth,revenue,73297.33,seasonal_naive_12m,2025-12
2026-02,N02,baseline,direct_cost,-19648.94,seasonal_naive_12m,2025-12
2026-02,N02,baseline,overhead,-7650.54,seasonal_naive_12m,2025-12
2026-02,N02,baseline,revenue,52688.88,seasonal_naive_12m,2025-12
2026-02,N02,cost_pressure,direct_cost,-22006.81,seasonal_naive_12m,2025-12
2026-02,N02,cost_pressure,overhead,-8033.07,seasonal_naive_12m,2025-12
2026-02,N02,cost_pressure,revenue,52688.88,seasonal_naive_12m,2025-12
2026-02,N02,growth,direct_cost,-21220.86,seasonal_naive_12m,2025-12
2026-02,N02,growth,overhead,-7650.54,seasonal_naive_12m,2025-12
2026-02,N02,growth,revenue,57957.77,seasonal_naive_12m,2025-12
2026-02,N03,baseline,direct_cost,-17501.71,seasonal_naive_12m,2025-12
2026-02,N03,baseline,overhead,-6465.59,seasonal_naive_12m,2025-12
2026-02,N03,baseline,revenue,37723.43,seasonal_naive_12m,2025-12
2026-02,N03,cost_pressure,direct_cost,-19601.92,seasonal_naive_12m,2025-12
2026-02,N03,cost_pressure,overhead,-6788.87,seasonal_naive_12m,2025-12
2026-02,N03,cost_pressure,revenue,37723.43,seasonal_naive_12m,2025-12
2026-02,N03,growth,direct_cost,-18901.85,seasonal_naive_12m,2025-12
2026-02,N03,growth,overhead,-6465.59,seasonal_naive_12m,2025-12
2026-02,N03,growth,revenue,41495.77,seasonal_naive_12m,2025-12
2026-03,N01,baseline,direct_cost,-30458.47,seasonal_naive_12m,2025-12
2026-03,N01,baseline,overhead,-10122.32,seasonal_naive_12m,2025-12
2026-03,N01,baseline,revenue,73721.54,seasonal_naive_12m,2025-12
2026-03,N01,cost_pressure,direct_cost,-34113.49,seasonal_naive_12m,2025-12
2026-03,N01,cost_pressure,overhead,-10628.44,seasonal_naive_12m,2025-12
2026-03,N01,cost_pressure,revenue,73721.54,seasonal_naive_12m,2025-12
2026-03,N01,growth,direct_cost,-32895.15,seasonal_naive_12m,2025-12
2026-03,N01,growth,overhead,-10122.32,seasonal_naive_12m,2025-12
2026-03,N01,growth,revenue,81093.69,seasonal_naive_12m,2025-12
2026-03,N02,baseline,direct_cost,-21153.16,seasonal_naive_12m,2025-12
2026-03,N02,baseline,overhead,-7613.66,seasonal_naive_12m,2025-12
2026-03,N02,baseline,revenue,56647.44,seasonal_naive_12m,2025-12
2026-03,N02,cost_pressure,direct_cost,-23691.54,seasonal_naive_12m,2025-12
2026-03,N02,cost_pressure,overhead,-7994.34,seasonal_naive_12m,2025-12
2026-03,N02,cost_pressure,revenue,56647.44,seasonal_naive_12m,2025-12
2026-03,N02,growth,direct_cost,-22845.41,seasonal_naive_12m,2025-12
2026-03,N02,growth,overhead,-7613.66,seasonal_naive_12m,2025-12
2026-03,N02,growth,revenue,62312.18,seasonal_naive_12m,2025-12
2026-03,N03,baseline,direct_cost,-19032.76,seasonal_naive_12m,2025-12
2026-03,N03,baseline,overhead,-6514.55,seasonal_naive_12m,2025-12
2026-03,N03,baseline,revenue,40647.47,seasonal_naive_12m,2025-12
2026-03,N03,cost_pressure,direct_cost,-21316.69,seasonal_naive_12m,2025-12
2026-03,N03,cost_pressure,overhead,-6840.28,seasonal_naive_12m,2025-12
2026-03,N03,cost_pressure,revenue,40647.47,seasonal_naive_12m,2025-12
2026-03,N03,growth,direct_cost,-20555.38,seasonal_naive_12m,2025-12
2026-03,N03,growth,overhead,-6514.55,seasonal_naive_12m,2025-12
2026-03,N03,growth,revenue,44712.22,seasonal_naive_12m,2025-12
