transaction_id,period,entity,account_code,amount,currency,status
T000001,2025-10,N02,0410,2927.29,EUR,posted
T000002,2025-10,N02,0400,150.00,EUR,posted
T000003,2025-10,N02,0400,130.62,EUR,posted
T000004,2025-10,N02,0410,4242.90,EUR,posted
T000005,2025-10,N02,0500,-907.85,EUR,posted
T000006,2025-10,N02,0610,-640.12,EUR,posted
T000007,2025-10,N02,0400,310.53,EUR,posted
T000008,2025-10,N02,0400,375.00,EUR,posted
T000009,2025-10,N02,0400,353.60,EUR,posted
T000010,2025-10,N02,0400,124.57,EUR,posted
T000011,2025-10,N02,0500,-490.74,EUR,posted
T000012,2025-10,N02,0410,-304.22,EUR,posted
T000013,2025-10,N02,0420,2173.12,EUR,posted
T000014,2025-10,N02,0400,174.49,EUR,posted
T000015,2025-10,N02,0400,192.55,EUR,posted
T000016,2025-10,N02,0610,-404.55,EUR,posted
T000017,2025-10,N02,0400,132.18,EUR,posted
T000018,2025-10,N02,0600,-958.12,EUR,posted
T000019,2025-10,N02,0400,245.15,EUR,posted
T000020,2025-10,N02,0420,-363.64,EUR,posted
T000021,2025-10,N02,0410,1290.84,EUR,posted
T000022,2025-10,N02,0400,231.67,EUR,posted
T000023,2025-10,N02,0400,117.45,EUR,posted
T000024,2025-10,N02,0400,302.85,EUR,posted
T000025,2025-10,N02,0400,331.35,EUR,posted
T000026,2025-10,N02,0510,-592.47,EUR,posted
T000027,2025-10,N02,0500,-663.72,EUR,posted
T000028,2025-10,N02,0400,296.59,EUR,posted
T000029,2025-10,N02,0500,-820.31,EUR,posted
T000030,2025-10,N02,0500,-348.39,EUR,posted
T000031,2025-10,N02,0400,94.03,EUR,posted
T000032,2025-10,N02,0400,151.76,EUR,posted
T000033,2025-10,N02,0400,157.04,EUR,posted
T000034,2025-10,N02,0510,-897.50,EUR,posted
T000035,2025-10,N02,0400,267.66,EUR,posted
T000036,2025-10,N02,0410,4643.32,EUR,posted
T000037,2025-10,N02,0500,-874.17,EUR,posted
T000038,2025-10,N02,0510,-940.82,EUR,cancelled
T000039,2025-10,N02,0420,526.90,EUR,posted
T000040,2025-10,N02,0410,2840.25,EUR,posted
T000041,2025-10,N02,0400,145.38,EUR,posted
T000042,2025-10,N02,0510,-436.25,EUR,posted
T000043,2025-10,N02,0400,292.04,EUR,posted
T000044,2025-10,N02,0400,203.67,EUR,posted
T000045,2025-10,N02,0400,371.81,EUR,posted
T000046,2025-10,N02,0500,-186.21,EUR,posted
T000047,2025-10,N02,0400,191.70,EUR,posted
T000048,2025-10,N02,0400,83.60,EUR,posted
T000049,2025-10,N02,0510,-485.42,EUR,posted
T000050,2025-10,N02,0400,209.42,EUR,posted
T000051,2025-10,N02,0510,323.33,EUR,posted
T000052,2025-10,N02,0420,1273.94,EUR,posted
T000053,2025-10,N02,0500,-336.41,EUR,posted
T000054,2025-10,N02,0410,4463.97,EUR,posted
T000055,2025-10,N02,0400,149.34,EUR,posted
T000056,2025-10,N02,0500,-752.63,EUR,posted
T000057,2025-10,N02,0510,-434.11,EUR,posted
T000058,2025-10,N02,0400,133.94,EUR,posted
T000059,2025-10,N02,0500,-752.82,EUR,posted
T000060,2025-10,N02,0400,169.68,EUR,posted
T000061,2025-10,N02,0500,-249.60,EUR,posted
T000062,2025-10,N02,0400,292.00,EUR,posted
T000063,2025-10,N02,0600,-1780.06,EUR,posted
T000064,2025-10,N02,0400,92.22,EUR,posted
T000065,2025-10,N02,0510,-810.39,EUR,posted
T000066,2025-10,N02,0410,4687.07,EUR,posted
T000067,2025-10,N02,0400,264.66,EUR,posted
T000068,2025-10,N02,0410,-460.53,EUR,posted
T000069,2025-10,N02,0410,1845.34,EUR,posted
T000070,2025-10,N02,0510,-754.09,EUR,posted
T000071,2025-10,N02,0610,-444.19,EUR,posted
T000072,2025-10,N02,0400,318.93,EUR,posted
T000073,2025-10,N02,0500,-328.67,EUR,posted
T000074,2025-10,N02,0510,-1583.88,EUR,posted
T000075,2025-10,N02,0500,-565.39,EUR,posted
T000076,2025-10,N02,0420,-638.63,EUR,posted
T000077,2025-10,N02,0500,-384.34,EUR,posted
T000078,2025-10,N02,0500,-229.57,EUR,posted
T000079,2025-10,N02,0500,-738.25,EUR,posted
T000080,2025-10,N02,0410,4344.78,EUR,posted
T000081,2025-10,N02,0500,-535.29,EUR,posted
T000082,2025-10,N02,0510,-1303.55,EUR,posted
T000083,2025-10,N02,0400,262.90,EUR,posted
T000084,2025-10,N02,0500,-406.31,EUR,posted
T000085,2025-10,N02,0420,900.25,EUR,posted
T000086,2025-10,N02,0410,1155.74,EUR,posted
T000087,2025-10,N02,0500,-567.11,EUR,posted
T000088,2025-10,N02,0400,193.36,EUR,posted
T000089,2025-10,N02,0410,2291.41,EUR,posted
T000090,2025-10,N02,0500,-529.32,EUR,posted
T000091,2025-10,N02,0410,1145.82,EUR,posted
T000092,2025-10,N02,0600,-693.65,EUR,posted
T000093,2025-10,N02,0500,126.49,EUR,posted
T000094,2025-10,N02,0510,-1563.58,EUR,posted
T000095,2025-10,N02,0510,-640.22,EUR,cancelled
T000096,2025-10,N02,0400,174.30,EUR,posted
T000097,2025-10,N02,0400,304.28,EUR,posted
T000098,2025-10,N02,0420,518.69,EUR,posted
T000099,2025-10,N02,0500,-683.95,EUR,posted
T000100,2025-10,N02,0500,-220.49,EUR,posted
T000101,2025-10,N02,0400,129.57,EUR,posted
T000102,2025-10,N02,0500,-383.90,EUR,posted
T000103,2025-10,N02,0410,2208.96,EUR,posted
T000104,2025-10,N02,0510,-1462.19,EUR,posted
T000105,2025-10,N02,0600,-1167.85,EUR,posted
T000106,2025-10,N02,0410,3907.80,EUR,posted
T000107,2025-10,N02,0410,2336.55,EUR,posted
T000108,2025-10,N02,0610,-1577.59,EUR,posted
T000109,2025-10,N02,0410,1168.83,EUR,posted
T000110,2025-10,N02,0500,-201.69,EUR,posted
T000111,2025-10,N02,0420,673.88,EUR,posted
T000112,2025-10,N02,0400,83.55,EUR,posted
T000113,2025-10,N02,0400,389.13,EUR,posted
T000114,2025-10,N02,0400,284.35,EUR,posted
T000115,2025-10,N02,0400,221.26,EUR,posted
T000116,2025-10,N02,0500,-460.41,EUR,posted
