period,entity,report_line,budget_amount
2025-11,N01,revenue,75350.00
2025-11,N01,direct_cost,-31400.00
2025-11,N01,overhead,-10400.00
2025-11,N02,revenue,59550.00
2025-11,N02,direct_cost,-22250.00
2025-11,N02,overhead,-8200.00
2025-11,N03,revenue,41600.00
2025-11,N03,direct_cost,-18800.00
2025-11,N03,overhead,-6650.00
2025-12,N01,revenue,68600.00
2025-12,N01,direct_cost,-29350.00
2025-12,N01,overhead,-10500.00
2025-12,N02,revenue,53200.00
2025-12,N02,direct_cost,-20500.00
2025-12,N02,overhead,-8150.00
2025-12,N03,revenue,38100.00
2025-12,N03,direct_cost,-17100.00
2025-12,N03,overhead,-6700.00
