transaction_id,period,entity,account_code,amount,currency,status
T000001,2025-11,N03,0420,-323.16,EUR,posted
T000002,2025-11,N03,0400,1663.59,EUR,posted
T000003,2025-11,N03,0600,-557.15,EUR,posted
T000004,2025-11,N03,0410,299.48,EUR,posted
T000005,2025-11,N03,0400,843.92,EUR,posted
T000006,2025-11,N03,0500,-395.10,EUR,posted
T000007,2025-11,N03,0500,-456.89,EUR,posted
T000008,2025-11,N03,0400,339.52,EUR,posted
T000009,2025-11,N03,0410,498.61,EUR,posted
T000010,2025-11,N03,0500,-655.57,EUR,posted
T000011,2025-11,N03,0410,664.20,EUR,posted
T000012,2025-11,N03,0610,-217.61,EUR,posted
T000013,2025-11,N03,0500,-563.95,EUR,posted
T000014,2025-11,N03,0400,1412.44,EUR,posted
T000015,2025-11,N03,0420,261.40,EUR,posted
T000016,2025-11,N03,0400,473.36,EUR,posted
T000017,2025-11,N03,0500,-167.17,EUR,posted
T000018,2025-11,N03,0400,576.62,EUR,posted
T000019,2025-11,N03,0400,1157.03,EUR,posted
T000020,2025-11,N03,0420,122.81,EUR,posted
T000021,2025-11,N03,0500,-154.35,EUR,posted
T000022,2025-11,N03,0400,1418.52,EUR,posted
T000023,2025-11,N03,0500,-569.30,EUR,posted
T000024,2025-11,N03,0410,641.66,EUR,posted
T000025,2025-11,N03,0400,393.17,EUR,posted
T000026,2025-11,N03,0400,601.24,EUR,posted
T000027,2025-11,N03,0400,423.63,EUR,posted
T000028,2025-11,N03,0610,-641.53,EUR,posted
T000029,2025-11,N03,0500,-718.16,EUR,posted
T000030,2025-11,N03,0400,910.19,EUR,posted
T000031,2025-11,N03,0610,-208.22,EUR,posted
T000032,2025-11,N03,0400,1300.44,EUR,posted
T000033,2025-11,N03,0500,-381.65,EUR,posted
T000034,2025-11,N03,0500,-627.32,EUR,posted
T000035,2025-11,N03,0400,687.87,EUR,posted
T000036,2025-11,N03,0500,-696.87,EUR,posted
T000037,2025-11,N03,0410,336.05,EUR,posted
T000038,2025-11,N03,0400,1433.06,EUR,posted
T000039,2025-11,N03,0400,1308.91,EUR,posted
T000040,2025-11,N03,0410,477.99,EUR,posted
T000041,2025-11,N03,0410,170.48,EUR,posted
T000042,2025-11,N03,0610,-599.84,EUR,posted
T000043,2025-11,N03,0500,-449.60,EUR,posted
T000044,2025-11,N03,0410,143.99,EUR,posted
T000045,2025-11,N03,0500,-350.03,EUR,posted
T000046,2025-11,N03,0410,277.02,EUR,posted
T000047,2025-11,N03,0510,-299.07,EUR,posted
T000048,2025-11,N03,0400,930.74,EUR,posted
T000049,2025-11,N03,0400,426.82,EUR,posted
T000050,2025-11,N03,0510,-706.43,EUR,posted
T000051,2025-11,N03,0420,249.63,EUR,posted
T000052,2025-11,N03,0400,1409.48,EUR,posted
T000053,2025-11,N03,0510,-558.63,EUR,posted
T000054,2025-11,N03,0410,188.66,EUR,posted
T000055,2025-11,N03,0610,-218.15,EUR,posted
T000056,2025-11,N03,0600,-781.56,EUR,cancelled
T000057,2025-11,N03,0400,478.21,EUR,posted
T000058,2025-11,N03,0400,-321.12,EUR,posted
T000059,2025-11,N03,0510,-151.98,EUR,posted
T000060,2025-11,N03,0420,398.21,EUR,posted
T000061,2025-11,N03,0420,251.50,EUR,posted
T000062,2025-11,N03,0510,-717.40,EUR,posted
T000063,2025-11,N03,0410,391.16,EUR,posted
T000064,2025-11,N03,0410,411.97,EUR,posted
T000065,2025-11,N03,0600,-1078.24,EUR,posted
T000066,2025-11,N03,0600,-571.30,EUR,posted
T000067,2025-11,N03,0500,-206.50,EUR,posted
T000068,2025-11,N03,0510,-792.61,EUR,posted
T000069,2025-11,N03,0400,1460.71,EUR,posted
T000070,2025-11,N03,0510,-588.97,EUR,posted
T000071,2025-11,N03,0500,-407.77,EUR,posted
T000072,2025-11,N03,0410,592.07,EUR,posted
T000073,2025-11,N03,0500,-324.15,EUR,posted
T000074,2025-11,N03,0400,1739.50,EUR,posted
T000075,2025-11,N03,0510,-566.00,EUR,posted
T000076,2025-11,N03,0420,100.81,EUR,posted
T000077,2025-11,N03,0500,-363.69,EUR,posted
T000078,2025-11,N03,0400,488.56,EUR,posted
T000079,2025-11,N03,0400,1202.14,EUR,posted
T000080,2025-11,N03,0500,-201.12,EUR,posted
T000081,2025-11,N03,0500,-639.39,EUR,posted
T000082,2025-11,N03,0500,-722.82,EUR,posted
T000083,2025-11,N03,0500,400.27,EUR,posted
T000084,2025-11,N03,0400,448.34,EUR,posted
T000085,2025-11,N03,0410,511.98,EUR,posted
T000086,2025-11,N03,0600,-823.56,EUR,posted
T000087,2025-11,N03,0400,704.21,EUR,posted
T000088,2025-11,N03,0410,538.76,EUR,posted
T000089,2025-11,N03,0400,1723.34,EUR,posted
T000090,2025-11,N03,0410,481.11,EUR,cancelled
T000091,2025-11,N03,0420,98.15,EUR,posted
T000092,2025-11,N03,0400,696.91,EUR,posted
T000093,2025-11,N03,0500,-621.52,EUR,posted
T000094,2025-11,N03,0400,922.35,EUR,cancelled
T000095,2025-11,N03,0400,250.99,EUR,cancelled
T000096,2025-11,N03,0410,242.92,EUR,posted
T000097,2025-11,N03,0500,-513.57,EUR,posted
T000098,2025-11,N03,0400,910.80,EUR,posted
T000099,2025-11,N03,0510,-275.22,EUR,posted
T000100,2025-11,N03,0400,372.71,EUR,posted
T000101,2025-11,N03,0400,-662.39,EUR,posted
T000102,2025-11,N03,0400,1325.06,EUR,posted
T000103,2025-11,N03,0500,-682.99,EUR,posted
T000104,2025-11,N03,0600,-883.67,EUR,posted
T000105,2025-11,N03,0510,-662.64,EUR,posted
T000106,2025-11,N03,0500,-474.96,EUR,posted
T000107,2025-11,N03,0400,1139.31,EUR,posted
T000108,2025-11,N03,0400,410.74,EUR,posted
T000109,2025-11,N03,0400,982.74,EUR,posted
T000110,2025-11,N03,0500,-661.43,EUR,posted
T000111,2025-11,N03,0500,-529.18,EUR,posted
T000112,2025-11,N03,0410,165.02,EUR,posted
T000113,2025-11,N03,0400,418.59,EUR,posted
T000114,2025-11,N03,0400,1436.49,EUR,posted
T000115,2025-11,N03,0510,-251.84,EUR,posted
T000116,2025-11,N03,0610,-723.93,EUR,posted
T000117,2025-11,N03,0500,-276.88,EUR,posted
T000118,2025-11,N03,0400,753.03,EUR,posted
T000119,2025-11,N03,0400,891.51,EUR,posted
T000120,2025-11,N03,0400,596.51,EUR,posted
T000121,2025-11,N03,0500,-404.32,EUR,posted
T000122,2025-11,N03,0420,395.40,EUR,posted
T000123,2025-11,N03,0410,177.34,EUR,posted
T000124,2025-11,N03,0500,-680.87,EUR,posted
T000125,2025-11,N03,0500,-147.04,EUR,posted
T000126,2025-11,N03,0500,-245.37,EUR,posted
T000127,2025-11,N03,0420,365.21,EUR,posted
T000128,2025-11,N03,0510,-553.29,EUR,posted
