transaction_id,period,entity,account_code,amount,currency,status
T000001,2025-12,N01,0400,2355.70,EUR,posted
T000002,2025-12,N01,0400,1019.33,EUR,posted
T000003,2025-12,N01,0400,872.42,EUR,posted
T000004,2025-12,N01,0400,1352.53,EUR,posted
T000005,2025-12,N01,0400,2038.44,EUR,posted
T000006,2025-12,N01,0500,-694.80,EUR,posted
T000007,2025-12,N01,0400,-414.05,EUR,posted
T000008,2025-12,N01,0400,487.45,EUR,posted
T000009,2025-12,N01,0420,323.92,EUR,posted
T000010,2025-12,N01,0610,-709.08,EUR,posted
T000011,2025-12,N01,0410,1673.95,EUR,posted
T000012,2025-12,N01,0400,669.06,EUR,posted
T000013,2025-12,N01,0410,1606.87,EUR,posted
T000014,2025-12,N01,0610,-262.70,EUR,posted
T000015,2025-12,N01,0500,-870.64,EUR,posted
T000016,2025-12,N01,0400,1466.18,EUR,posted
T000017,2025-12,N01,0400,1547.85,EUR,posted
T000018,2025-12,N01,0420,1139.53,EUR,posted
T000019,2025-12,N01,0500,-733.52,EUR,posted
T000020,2025-12,N01,0600,-2418.99,EUR,posted
T000021,2025-12,N01,0500,-731.88,EUR,posted
T000022,2025-12,N01,0500,-548.51,EUR,posted
T000023,2025-12,N01,0500,258.25,EUR,posted
T000024,2025-12,N01,0410,575.37,EUR,posted
T000025,2025-12,N01,0500,-910.88,EUR,posted
T000026,2025-12,N01,0410,1710.43,EUR,posted
T000027,2025-12,N01,0400,854.69,EUR,posted
T000028,2025-12,N01,0410,1842.27,EUR,posted
T000029,2025-12,N01,0600,-2220.11,EUR,posted
T000030,2025-12,N01,0420,-611.72,EUR,posted
T000031,2025-12,N01,0500,-231.70,EUR,posted
T000032,2025-12,N01,0500,-302.33,EUR,posted
T000033,2025-12,N01,0420,668.59,EUR,posted
T000034,2025-12,N01,0400,1456.34,EUR,posted
T000035,2025-12,N01,0410,422.47,EUR,posted
T000036,2025-12,N01,0400,592.86,EUR,posted
T000037,2025-12,N01,0420,846.96,EUR,posted
T000038,2025-12,N01,0500,-491.45,EUR,posted
