transaction_id,period,entity,account_code,amount,currency,status
T000001,2025-12,N02,0500,-264.63,EUR,posted
T000002,2025-12,N02,0400,155.04,EUR,posted
T000003,2025-12,N02,0420,947.45,EUR,posted
T000004,2025-12,N02,0610,-364.93,EUR,posted
T000005,2025-12,N02,0400,100.66,EUR,posted
T000006,2025-12,N02,0400,166.11,EUR,posted
T000007,2025-12,N02,0410,1690.57,EUR,posted
T000008,2025-12,N02,0400,77.65,EUR,posted
T000009,2025-12,N02,0500,-279.88,EUR,posted
T000010,2025-12,N02,0500,-187.78,EUR,posted
T000011,2025-12,N02,0410,695.93,EUR,posted
T000012,2025-12,N02,0500,-176.71,EUR,posted
T000013,2025-12,N02,0610,-281.83,EUR,posted
T000014,2025-12,N02,0410,1245.78,EUR,posted
T000015,2025-12,N02,0400,247.82,EUR,posted
T000016,2025-12,N02,0500,-642.75,EUR,posted
T000017,2025-12,N02,0410,2737.77,EUR,posted
T000018,2025-12,N02,0500,-135.13,EUR,posted
T000019,2025-12,N02,0400,166.55,EUR,posted
T000020,2025-12,N02,0500,-182.37,EUR,posted
T000021,2025-12,N02,0410,3009.13,EUR,posted
T000022,2025-12,N02,0400,98.16,EUR,posted
T000023,2025-12,N02,0610,-676.49,EUR,posted
T000024,2025-12,N02,0410,3293.91,EUR,posted
T000025,2025-12,N02,0500,-334.81,EUR,posted
T000026,2025-12,N02,0400,127.86,EUR,posted
T000027,2025-12,N02,0420,1641.87,EUR,cancelled
T000028,2025-12,N02,0500,-577.29,EUR,posted
T000029,2025-12,N02,0420,704.88,EUR,posted
T000030,2025-12,N02,0510,-596.19,EUR,posted
T000031,2025-12,N02,0400,158.90,EUR,posted
T000032,2025-12,N02,0410,2151.53,EUR,posted
T000033,2025-12,N02,0400,274.58,EUR,posted
T000034,2025-12,N02,0400,168.77,EUR,posted
T000035,2025-12,N02,0500,-515.79,EUR,posted
T000036,2025-12,N02,0510,-989.09,EUR,posted
T000037,2025-12,N02,0510,-836.93,EUR,posted
T000038,2025-12,N02,0610,-920.24,EUR,posted
T000039,2025-12,N02,0500,-462.11,EUR,posted
T000040,2025-12,N02,0400,324.55,EUR,posted
T000041,2025-12,N02,0410,3416.92,EUR,posted
T000042,2025-12,N02,0410,2428.54,EUR,posted
T000043,2025-12,N02,0420,852.55,EUR,posted
T000044,2025-12,N02,0400,197.34,EUR,posted
T000045,2025-12,N02,0400,143.76,EUR,posted
T000046,2025-12,N02,0400,273.89,EUR,posted
T000047,2025-12,N02,0400,204.09,EUR,posted
T000048,2025-12,N02,0500,-465.64,EUR,posted
T000049,2025-12,N02,0400,1483.15,EUR,cancelled
T000050,2025-12,N02,0500,-657.51,EUR,posted
T000051,2025-12,N02,0500,-393.83,EUR,posted
T000052,2025-12,N02,0420,666.03,EUR,posted
T000053,2025-12,N02,0400,-548.82,EUR,posted
T000054,2025-12,N02,0600,-1164.89,EUR,posted
T000055,2025-12,N02,0410,-409.61,EUR,posted
T000056,2025-12,N02,0420,818.95,EUR,posted
T000057,2025-12,N02,0400,183.14,EUR,posted
T000058,2025-12,N02,0510,-871.00,EUR,posted
T000059,2025-12,N02,0400,161.45,EUR,posted
T000060,2025-12,N02,0600,-727.35,EUR,posted
T000061,2025-12,N02,0420,-559.93,EUR,posted
T000062,2025-12,N02,0500,-520.84,EUR,posted
T000063,2025-12,N02,0500,-168.23,EUR,posted
T000064,2025-12,N02,0400,307.58,EUR,posted
T000065,2025-12,N02,0500,173.96,EUR,posted
T000066,2025-12,N02,0410,3365.35,EUR,posted
T000067,2025-12,N02,0510,-1404.42,EUR,posted
T000068,2025-12,N02,0500,82.34,EUR,posted
T000069,2025-12,N02,0400,86.82,EUR,posted
T000070,2025-12,N02,0400,353.14,EUR,posted
T000071,2025-12,N02,0500,-574.51,EUR,posted
T000072,2025-12,N02,0400,383.93,EUR,posted
T000073,2025-12,N02,0400,279.31,EUR,posted
T000074,2025-12,N02,0400,104.77,EUR,posted
T000075,2025-12,N02,0410,1338.15,EUR,posted
T000076,2025-12,N02,0500,-448.04,EUR,posted
T000077,2025-12,N02,0400,117.27,EUR,posted
T000078,2025-12,N02,0420,731.50,EUR,posted
T000079,2025-12,N02,0600,-669.70,EUR,posted
T000080,2025-12,N02,0410,1548.97,EUR,posted
T000081,2025-12,N02,0610,-399.53,EUR,posted
T000082,2025-12,N02,0500,-393.71,EUR,posted
T000083,2025-12,N02,0400,322.26,EUR,posted
T000084,2025-12,N02,0400,147.40,EUR,posted
T000085,2025-12,N02,0400,169.21,EUR,posted
T000086,2025-12,N02,0510,-381.35,EUR,posted
T000087,2025-12,N02,0510,-1127.44,EUR,posted
T000088,2025-12,N02,0510,-421.24,EUR,posted
T000089,2025-12,N02,0410,1496.68,EUR,cancelled
T000090,2025-12,N02,0410,911.69,EUR,posted
T000091,2025-12,N02,0600,-1034.59,EUR,posted
T000092,2025-12,N02,0410,2080.36,EUR,posted
T000093,2025-12,N02,0500,-668.97,EUR,posted
T000094,2025-12,N02,0510,134.84,EUR,posted
T000095,2025-12,N02,0400,166.91,EUR,posted
T000096,2025-12,N02,0500,-503.70,EUR,posted
T000097,2025-12,N02,0400,240.03,EUR,posted
T000098,2025-12,N02,0400,246.35,EUR,posted
T000099,2025-12,N02,0600,-969.68,EUR,posted
T000100,2025-12,N02,0420,491.67,EUR,posted
T000101,2025-12,N02,0400,359.86,EUR,posted
T000102,2025-12,N02,0410,3431.51,EUR,posted
T000103,2025-12,N02,0500,-460.89,EUR,posted
T000104,2025-12,N02,0400,363.53,EUR,posted
T000105,2025-12,N02,0400,325.22,EUR,posted
T000106,2025-12,N02,0410,3394.34,EUR,posted
T000107,2025-12,N02,0500,-324.01,EUR,posted
T000108,2025-12,N02,0410,1001.94,EUR,posted
T000109,2025-12,N02,0400,126.27,EUR,posted
T000110,2025-12,N02,0610,-401.11,EUR,posted
T000111,2025-12,N02,0510,-1390.61,EUR,posted
T000112,2025-12,N02,0500,-363.79,EUR,posted
T000113,2025-12,N02,0500,-687.92,EUR,posted
T000114,2025-12,N02,0510,-958.33,EUR,posted
T000115,2025-12,N02,0400,326.41,EUR,posted
T000116,2025-12,N02,0410,1355.41,EUR,posted
T000117,2025-12,N02,0400,162.97,EUR,posted
T000118,2025-12,N02,0500,-423.43,EUR,posted
T000119,2025-12,N02,0500,-157.13,EUR,posted
T000120,2025-12,N02,0400,22000.00,EUR,posted
