transaction_id,period,entity,account_code,amount,currency,status
T000001,2025-11,N02,0500,-151.01,EUR,posted
T000002,2025-11,N02,0400,245.24,EUR,posted
T000003,2025-11,N02,0400,192.21,EUR,posted
T000004,2025-11,N02,0400,344.17,EUR,posted
T000005,2025-11,N02,0500,-375.91,EUR,posted
T000006,2025-11,N02,0400,191.61,EUR,posted
T000007,2025-11,N02,0500,-140.59,EUR,posted
T000008,2025-11,N02,0510,-821.45,EUR,posted
T000009,2025-11,N02,0510,-292.76,EUR,posted
T000010,2025-11,N02,0400,143.64,EUR,posted
T000011,2025-11,N02,0410,4124.09,EUR,posted
T000012,2025-11,N02,0510,-542.39,EUR,posted
T000013,2025-11,N02,0410,2602.80,EUR,posted
T000014,2025-11,N02,0500,-234.61,EUR,posted
T000015,2025-11,N02,0400,87.71,EUR,posted
T000016,2025-11,N02,0600,-1145.21,EUR,posted
T000017,2025-11,N02,0500,129.34,EUR,posted
T000018,2025-11,N02,0500,-321.33,EUR,posted
T000019,2025-11,N02,0510,-596.11,EUR,posted
T000020,2025-11,N02,0500,-586.68,EUR,posted
T000021,2025-11,N02,0420,1182.66,EUR,posted
T000022,2025-11,N02,0500,-302.22,EUR,posted
T000023,2025-11,N02,0400,324.96,EUR,posted
T000024,2025-11,N02,0610,-863.29,EUR,posted
T000025,2025-11,N02,0510,313.43,EUR,posted
T000026,2025-11,N02,0610,-525.53,EUR,posted
T000027,2025-11,N02,0400,374.73,EUR,posted
T000028,2025-11,N02,0420,326.39,EUR,posted
T000029,2025-11,N02,0400,273.66,EUR,posted
T000030,2025-11,N02,0500,-437.10,EUR,posted
T000031,2025-11,N02,0400,250.40,EUR,posted
T000032,2025-11,N02,0400,322.50,EUR,posted
T000033,2025-11,N02,0400,95.34,EUR,posted
T000034,2025-11,N02,0400,235.55,EUR,posted
T000035,2025-11,N02,0610,-222.78,EUR,posted
T000036,2025-11,N02,0400,195.72,EUR,posted
T000037,2025-11,N02,0410,5136.13,EUR,posted
T000038,2025-11,N02,0510,-786.32,EUR,posted
T000039,2025-11,N02,0400,399.49,EUR,posted
T000040,2025-11,N02,0500,-244.28,EUR,posted
T000041,2025-11,N02,0500,-587.34,EUR,posted
T000042,2025-11,N02,0510,-293.21,EUR,posted
T000043,2025-11,N02,0500,-198.84,EUR,posted
T000044,2025-11,N02,0500,-153.63,EUR,posted
T000045,2025-11,N02,0400,104.61,EUR,posted
T000046,2025-11,N02,0400,96.97,EUR,posted
T000047,2025-11,N02,0510,-1125.23,EUR,posted
T000048,2025-11,N02,0400,1319.92,EUR,cancelled
T000049,2025-11,N02,0400,280.54,EUR,posted
T000050,2025-11,N02,0410,1521.31,EUR,posted
T000051,2025-11,N02,0420,1028.19,EUR,posted
T000052,2025-11,N02,0610,-1277.59,EUR,cancelled
T000053,2025-11,N02,0500,-147.78,EUR,posted
T000054,2025-11,N02,0410,4899.71,EUR,posted
T000055,2025-11,N02,0410,4574.31,EUR,posted
T000056,2025-11,N02,0400,105.93,EUR,posted
T000057,2025-11,N02,0420,707.16,EUR,posted
T000058,2025-11,N02,0400,324.84,EUR,posted
T000059,2025-11,N02,0510,-473.52,EUR,posted
T000060,2025-11,N02,0510,-1006.05,EUR,posted
T000061,2025-11,N02,0400,154.99,EUR,posted
T000062,2025-11,N02,0500,-589.06,EUR,posted
T000063,2025-11,N02,0400,102.67,EUR,posted
