period,entity,report_line,budget_amount
2025-12,N01,revenue,68600.00
2025-12,N01,direct_cost,-29350.00
2025-12,N01,overhead,-10500.00
2025-12,N02,revenue,53200.00
2025-12,N02,direct_cost,-20500.00
2025-12,N02,overhead,-8150.00
2025-12,N03,revenue,38100.00
2025-12,N03,direct_cost,-17100.00
2025-12,N03,overhead,-6700.00
2026-01,N01,revenue,66200.00
2026-01,N01,direct_cost,-28100.00
2026-01,N01,overhead,-10450.00
2026-01,N02,revenue,53100.00
2026-01,N02,direct_cost,-19750.00
2026-01,N02,overhead,-8200.00
2026-01,N03,revenue,36550.00
2026-01,N03,direct_cost,-17150.00
2026-01,N03,overhead,-6750.00
