transaction_id,period,entity,account_code,amount,currency,status
T000001,2026-01,N03,0400,468.10,EUR,posted
T000002,2026-01,N03,0400,1029.60,EUR,posted
T000003,2026-01,N03,0500,-671.17,EUR,posted
T000004,2026-01,N03,0500,-533.34,EUR,posted
T000005,2026-01,N03,0410,215.80,EUR,posted
T000006,2026-01,N03,0420,157.33,EUR,posted
T000007,2026-01,N03,0510,-387.67,EUR,posted
T000008,2026-01,N03,0500,-593.37,EUR,posted
T000009,2026-01,N03,0510,-293.07,EUR,posted
T000010,2026-01,N03,0500,-195.75,EUR,posted
T000011,2026-01,N03,0400,1207.36,EUR,posted
T000012,2026-01,N03,0610,-642.41,EUR,posted
T000013,2026-01,N03,0400,301.39,EUR,posted
T000014,2026-01,N03,0500,-170.07,EUR,posted
T000015,2026-01,N03,0600,-820.86,EUR,posted
T000016,2026-01,N03,0400,-367.26,EUR,posted
T000017,2026-01,N03,0500,348.76,EUR,posted
T000018,2026-01,N03,0510,-195.15,EUR,posted
T000019,2026-01,N03,0510,-248.81,EUR,posted
T000020,2026-01,N03,0420,243.26,EUR,posted
T000021,2026-01,N03,0400,447.70,EUR,posted
T000022,2026-01,N03,0500,-421.43,EUR,posted
T000023,2026-01,N03,0400,1104.82,EUR,posted
T000024,2026-01,N03,0400,788.97,EUR,posted
T000025,2026-01,N03,0400,586.96,EUR,posted
T000026,2026-01,N03,0500,-217.13,EUR,posted
T000027,2026-01,N03,0410,630.48,EUR,posted
T000028,2026-01,N03,0400,262.10,EUR,posted
T000029,2026-01,N03,0510,-576.28,EUR,posted
T000030,2026-01,N03,0400,1263.53,EUR,posted
T000031,2026-01,N03,0500,-328.48,EUR,posted
T000032,2026-01,N03,0420,357.88,EUR,posted
T000033,2026-01,N03,0400,725.53,EUR,posted
T000034,2026-01,N03,0400,1027.05,EUR,posted
T000035,2026-01,N03,0600,-502.84,EUR,posted
T000036,2026-01,N03,0410,455.71,EUR,posted
T000037,2026-01,N03,0500,-234.66,EUR,posted
T000038,2026-01,N03,0400,619.59,EUR,posted
T000039,2026-01,N03,0400,729.97,EUR,posted
T000040,2026-01,N03,0500,-482.97,EUR,posted
T000041,2026-01,N03,0400,902.52,EUR,posted
T000042,2026-01,N03,0400,949.17,EUR,posted
T000043,2026-01,N03,0500,-765.03,EUR,cancelled
T000044,2026-01,N03,0500,-650.42,EUR,posted
T000045,2026-01,N03,0500,-735.09,EUR,posted
T000046,2026-01,N03,0510,-140.27,EUR,posted
T000047,2026-01,N03,0420,-327.21,EUR,posted
T000048,2026-01,N03,0400,340.15,EUR,posted
T000049,2026-01,N03,0420,188.24,EUR,posted
T000050,2026-01,N03,0400,495.88,EUR,posted
T000051,2026-01,N03,0420,75.14,EUR,posted
T000052,2026-01,N03,0610,-1302.45,EUR,cancelled
T000053,2026-01,N03,0400,781.80,EUR,posted
T000054,2026-01,N03,0500,-236.34,EUR,posted
T000055,2026-01,N03,0500,-701.53,EUR,posted
T000056,2026-01,N03,0500,-196.39,EUR,posted
T000057,2026-01,N03,0610,-533.44,EUR,posted
T000058,2026-01,N03,0500,-361.43,EUR,posted
T000059,2026-01,N03,0510,-375.38,EUR,posted
T000060,2026-01,N03,0510,-589.37,EUR,posted
T000061,2026-01,N03,0410,169.03,EUR,posted
T000062,2026-01,N03,0510,-522.48,EUR,posted
T000063,2026-01,N03,0500,-568.75,EUR,posted
T000064,2026-01,N03,0510,-487.45,EUR,posted
T000065,2026-01,N03,0400,533.74,EUR,posted
T000066,2026-01,N03,0500,-309.93,EUR,posted
T000067,2026-01,N03,0400,1015.32,EUR,posted
T000068,2026-01,N03,0600,-902.61,EUR,posted
T000069,2026-01,N03,0610,-634.22,EUR,posted
T000070,2026-01,N03,0420,212.13,EUR,posted
T000071,2026-01,N03,0400,861.53,EUR,posted
T000072,2026-01,N03,0610,-598.16,EUR,posted
T000073,2026-01,N03,0500,-483.13,EUR,posted
T000074,2026-01,N03,0400,927.61,EUR,posted
T000075,2026-01,N03,0500,-533.85,EUR,posted
T000076,2026-01,N03,0410,435.21,EUR,posted
T000077,2026-01,N03,0400,634.20,EUR,posted
T000078,2026-01,N03,0400,425.12,EUR,posted
T000079,2026-01,N03,0410,-247.34,EUR,posted
T000080,2026-01,N03,0410,263.37,EUR,posted
T000081,2026-01,N03,0500,-731.89,EUR,posted
T000082,2026-01,N03,0610,-177.84,EUR,posted
T000083,2026-01,N03,0400,764.47,EUR,posted
T000084,2026-01,N03,0400,503.45,EUR,posted
T000085,2026-01,N03,0420,276.15,EUR,posted
